menu_item,sold_at,quantity,revenue,channel
Brown Butter Chocolate Chip Cookie,2026-09-10T18:56:00-05:00,14,52.50,doordash
Crispy Chicken Sandwich,2026-09-11T11:18:00-05:00,24,324.00,in_store
Crispy Chicken Sandwich,2026-09-11T18:49:00-05:00,32,432.00,in_store
Nashville Hot Chicken Sandwich,2026-09-11T11:47:00-05:00,16,228.00,doordash
Nashville Hot Chicken Sandwich,2026-09-11T18:59:00-05:00,20,285.00,online
Buttermilk Fried Chicken Tenders,2026-09-11T11:106:00-05:00,14,164.50,in_store
Buttermilk Fried Chicken Tenders,2026-09-11T18:34:00-05:00,15,176.25,in_store
Classic Cheeseburger,2026-09-11T11:17:00-05:00,16,200.00,in_store
Classic Cheeseburger,2026-09-11T18:37:00-05:00,21,262.50,ubereats
Smoked Brisket Sandwich,2026-09-11T11:155:00-05:00,13,208.00,in_store
Smoked Brisket Sandwich,2026-09-11T18:12:00-05:00,11,176.00,in_store
Loaded Waffle Fries,2026-09-11T11:168:00-05:00,26,214.50,in_store
Loaded Waffle Fries,2026-09-11T18:42:00-05:00,23,189.75,in_store
Buffalo Wings (8 pc),2026-09-11T11:112:00-05:00,17,221.00,online
Buffalo Wings (8 pc),2026-09-11T18:41:00-05:00,17,221.00,in_store
Street Corn Elote Cup,2026-09-11T11:168:00-05:00,12,78.00,doordash
Street Corn Elote Cup,2026-09-11T18:135:00-05:00,14,91.00,in_store
Kale Caesar Salad,2026-09-11T11:117:00-05:00,8,84.00,in_store
Kale Caesar Salad,2026-09-11T18:141:00-05:00,10,105.00,doordash
Matcha Latte,2026-09-11T11:130:00-05:00,14,80.50,ubereats
Matcha Latte,2026-09-11T18:162:00-05:00,18,103.50,online
Horchata Cold Brew,2026-09-11T11:72:00-05:00,9,47.25,online
Horchata Cold Brew,2026-09-11T18:146:00-05:00,13,68.25,in_store
Brown Butter Chocolate Chip Cookie,2026-09-11T11:72:00-05:00,16,60.00,ubereats
Brown Butter Chocolate Chip Cookie,2026-09-11T18:09:00-05:00,16,60.00,online
Wingz,2026-09-11T18:12:00-05:00,2,26.00,online
Matcha Ltte,2026-09-11T11:04:00-05:00,1,5.75,in_store
